"","D","m","method"
"131",1,0.890571418666472,"Burden"
"132",0,0.673041717159946,"Burden"
"133",0,0.510652506412465,"Burden"
"134",0,0.326676329474691,"Burden"
"135",0,0.0991673891161251,"Burden"
"136",0,0.672729877919651,"Burden"
"137",0,0.464696118196906,"Burden"
"138",0,0.779885913605912,"Burden"
"139",0,0.555368759074516,"Burden"
"140",0,0.191832294862546,"Burden"
"141",0,0.370000845438271,"Burden"
"142",0,0.0129725545950099,"Burden"
"143",0,0.943864937897439,"Burden"
"144",0,0.0738336587464441,"Burden"
"145",0,0.0474539716530937,"Burden"
"146",0,0.772058903843068,"Burden"
"147",0,0.319057035021281,"Burden"
"148",0,0.29516810082182,"Burden"
"149",0,0.845061149872829,"Burden"
"150",0,0.00875405862796766,"Burden"
"151",0,0.515804916857031,"Burden"
"152",0,0.576412461250174,"Burden"
"153",0,0.710300264564895,"Burden"
"154",0,0.572871332069307,"Burden"
"155",0,0.292772744942711,"Burden"
"156",0,0.00105929207795421,"Burden"
"157",0,0.624571133348727,"Burden"
"158",0,0.396556871777396,"Burden"
"159",0,0.0650256051531704,"Burden"
"160",0,0.91685089280367,"Burden"
"161",0,0.906027037281609,"Burden"
"162",0,0.268755740249678,"Burden"
"163",0,0.016730063348327,"Burden"
"164",0,0.284764453749328,"Burden"
"165",0,0.501659481364083,"Burden"
"166",0,0.0295022766479137,"Burden"
"167",0,0.000234681556121921,"Burden"
"168",0,0.814312980243953,"Burden"
"169",0,0.524580945366269,"Burden"
"170",0,0.186341650528372,"Burden"
"171",0,0.407669335949454,"Burden"
"172",0,0.720664994908163,"Burden"
"173",0,0.516231239085667,"Burden"
"174",0,0.182847701270091,"Burden"
"175",0,0.981038806564057,"Burden"
"176",0,0.584181513341178,"Burden"
"177",0,0.475215213887726,"Burden"
"178",0,0.976283438457563,"Burden"
"179",0,0.107202419042317,"Burden"
"180",0,0.0297368575075948,"Burden"
"181",0,0.690237876610741,"Burden"
"182",0,0.508553308740625,"Burden"
"183",0,0.803552980938396,"Burden"
"184",0,0.419991497765241,"Burden"
"185",0,0.00643416512659239,"Burden"
"186",0,0.18054008738972,"Burden"
"187",1,0.385871346543601,"Burden"
"188",0,0.190719324294594,"Burden"
"189",0,0.0137490876517224,"Burden"
"190",0,0.812990075212474,"Burden"
"191",0,0.455116668085645,"Burden"
"192",0,0.824955520779756,"Burden"
"193",0,0.721940002499048,"Burden"
"194",0,0.0646090980282391,"Burden"
"195",0,0.84530098414661,"Burden"
"196",0,0.0729999968936784,"Burden"
"197",0,0.633824478044503,"Burden"
"198",0,0.220554961967013,"Burden"
"199",0,0.906037549668998,"Burden"
"200",0,0.14221364804958,"Burden"
