"","D","m","method"
"134",0,0.966351850479201,"Burden"
"135",0,0.0211300727968076,"Burden"
"136",0,0.0813969848194106,"Burden"
"137",0,0.108277829447111,"Burden"
"138",0,0.808201430564908,"Burden"
"139",0,0.409884402653023,"Burden"
"140",0,0.810773764595772,"Burden"
"141",0,0.310782650251282,"Burden"
"142",0,0.0352010538325901,"Burden"
"143",0,1,"Burden"
"144",0,0.434031413033387,"Burden"
"145",0,0.767511198625591,"Burden"
"146",0,0.0343123809336501,"Burden"
"147",0,0.300635526706661,"Burden"
"148",0,0.441915570553329,"Burden"
"149",0,0.212142218841753,"Burden"
"150",1,0.52977471919757,"Burden"
"151",0,0.873663166726561,"Burden"
"152",0,0.0635523335190453,"Burden"
"153",0,0.689067585916733,"Burden"
"154",0,0.225479801222448,"Burden"
"155",0,1,"Burden"
"156",0,0.00963082952311299,"Burden"
"157",0,0.403099622174722,"Burden"
"158",0,0.369579218279325,"Burden"
"159",1,0.0593345414739646,"Burden"
"160",0,0.603201107472218,"Burden"
"161",0,0.0993144050807711,"Burden"
"162",0,0.293948815876549,"Burden"
"163",0,0.361368034515992,"Burden"
"164",0,0.218130556940888,"Burden"
"165",1,0.000573078411284019,"Burden"
"166",0,0.697319127375104,"Burden"
"167",1,0.779279529269637,"Burden"
"168",1,0.858721981332228,"Burden"
"169",0,0.846335074999588,"Burden"
"170",0,0.529145691228235,"Burden"
"171",0,0.468611349355265,"Burden"
"172",0,0.96393598318962,"Burden"
"173",0,0.515178339670705,"Burden"
"174",0,0.664280144710746,"Burden"
"175",0,0.765735630170325,"Burden"
"176",0,0.199391430678822,"Burden"
"177",0,0.101811895162422,"Burden"
"178",0,0.647048079937942,"Burden"
"179",0,0.00453505715897081,"Burden"
"180",0,0.0709576024793609,"Burden"
"181",0,0.100879165123659,"Burden"
"182",0,0.93985037283492,"Burden"
"183",0,0.27557062683785,"Burden"
"184",0,1,"Burden"
"185",0,0.00113489250468189,"Burden"
"186",0,0.0346754136903602,"Burden"
"187",1,1,"Burden"
"188",1,0.25566325786421,"Burden"
"189",1,0.394908368330093,"Burden"
"190",0,0.789246016348832,"Burden"
"191",0,0.573565186853037,"Burden"
"192",0,0.354827883156451,"Burden"
"193",0,0.737562478549605,"Burden"
"194",0,0.930326253802608,"Burden"
"195",0,0.275720283909,"Burden"
"196",0,0.0717904992600707,"Burden"
"197",0,0.460924166927642,"Burden"
"198",0,0.0247186515805671,"Burden"
"199",0,0.49827301769024,"Burden"
"200",0,0.340824331867816,"Burden"
